Timestamp,Distance
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
Peter,Griffin
Glenn,Quagmire
"2022-05-23 00:35:11"
Glenn,Quagmire
"2022-05-23 00:35:12"
Glenn,Quagmire
"2022-05-23 00:35:13"
Glenn,Quagmire
"2022-05-23 00:35:14"
Glenn,Quagmire
"2022-05-23 00:35:15"
Glenn,Quagmire
"2022-05-23 00:35:19"
Glenn,Quagmire
"2022-05-23 00:35:20"
Glenn,Quagmire
"2022-05-23 00:35:21"
Glenn,Quagmire
"2022-05-23 00:35:22"
Glenn,Quagmire
"2022-05-23 00:35:23"
Glenn,Quagmire
"2022-05-23 00:35:24"
Glenn,Quagmire
"2022-05-23 00:35:25"
Glenn,Quagmire
"2022-05-23 00:35:26"
Glenn,Quagmire
"2022-05-23 00:35:27"
Glenn,Quagmire
"2022-05-23 00:35:28"
Glenn,Quagmire
"2022-05-23 00:35:29"
Glenn,Quagmire
"2022-05-23 00:35:30"
Glenn,Quagmire
"2022-05-23 00:35:31"
Glenn,Quagmire
"2022-05-23 00:35:32"
Glenn,Quagmire
"2022-05-23 00:35:33"
Glenn,Quagmire
"2022-05-23 00:35:34"
Glenn,Quagmire
"2022-05-23 00:35:35"
Glenn,Quagmire
"2022-05-23 00:35:36"
Glenn,Quagmire
"2022-05-23 00:35:37"
Glenn,Quagmire
"2022-05-23 00:35:38"
Glenn,Quagmire
"2022-05-23 00:35:39"
Glenn,Quagmire
"2022-05-23 00:35:40"
Glenn,Quagmire
"2022-05-23 00:35:41"
Glenn,Quagmire
"2022-05-23 00:35:42"
Glenn,Quagmire
"2022-05-23 00:35:43"
Glenn,Quagmire
"2022-05-23 00:35:44"
Glenn,Quagmire
"2022-05-23 00:35:45"
Glenn,Quagmire
"2022-05-23 00:35:47"
Glenn,Quagmire
"2022-05-23 00:35:48"
Glenn,Quagmire
"2022-05-23 00:35:49"
Glenn,Quagmire
"2022-05-23 00:35:50"
230
"2022-05-23 00:35:51"
230
"2022-05-23 00:35:52"
230
"2022-05-23 00:35:53"
230
"2022-05-23 00:35:54"
230
"2022-05-23 00:35:55"
230
"2022-05-23 00:35:56"
230
"2022-05-23 00:35:57"
230
"2022-05-23 00:35:58"
230
"2022-05-23 00:35:59"
231
"2022-05-23 00:36:04"
230
"2022-05-23 00:36:05"
231
"2022-05-23 00:36:06"
231
"2022-05-23 00:36:07"
231
"2022-05-23 00:36:08"
230
"2022-05-23 00:36:09"
231
"2022-05-23 00:36:10"
2
"2022-05-23 00:36:11"
302
"2022-05-23 00:36:12"
30
"2022-05-23 00:36:13"
230
"2022-05-23 00:36:14"
2302
"2022-05-23 00:36:15"
30
"2022-05-23 00:36:16"
230
"2022-05-23 00:36:17"
230231
"2022-05-23 00:36:18"
230
"2022-05-23 00:36:19"
230
"2022-05-23 00:36:20"
230
"2022-05-23 00:36:21"
230
"2022-05-23 00:36:28"

